speedInKph;Emission (g/km) Légers_CO2;Emission (g/km) Large-SUV_CO2_Diesel_Euro5;Emission (g/km) Légers_CO2_Diesel_Euro4;Emission (g/km) Légers_CO2_Diesel_Euro5;Emission (g/km) Légers_CO2_Petrol_Euro5;Emission (g/km) Légers_PM10;Emission (g/km) Large-SUV_PM10_Diesel_Euro5;Emission (g/km) Légers_PM10_Diesel_Euro4;Emission (g/km) Légers_PM10_Diesel_Euro5;Emission (g/km) Légers_PM10_Petrol_Euro5
1;343,90204060398;347,59395932518;251,251797929272;251,251797929272;346,74531606273;0,0173080280577429;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
2;343,90204060398;347,59395932518;251,251797929272;251,251797929272;346,74531606273;0,0173080280577429;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
3;343,90204060398;347,59395932518;251,251797929272;251,251797929272;346,74531606273;0,0173080280577429;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
4;343,90204060398;347,59395932518;251,251797929272;251,251797929272;346,74531606273;0,0173080280577429;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
5;343,90204060398;347,59395932518;251,251797929272;251,251797929272;346,74531606273;0,0173080280577429;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
6;333,161331174829;347,59395932518;251,251797929272;251,251797929272;334,829147498934;0,0172070250422135;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
7;324,361878525135;347,59395932518;251,251797929272;251,251797929272;323,51888112915;0,017134196398416;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
8;316,934347186379;347,59395932518;251,251797929272;251,251797929272;312,784109745539;0,0170790004349029;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
9;310,531285522917;347,59395932518;251,251797929272;251,251797929272;302,596003852873;0,0170356502058698;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
10;304,924370313354;347,59395932518;251,251797929272;251,251797929272;292,927233231509;0,0170006743947033;0,0050511725845954;0,0399580000000002;0,0050511725845954;0,0023471873293958
11;293,681452388895;335,374923375745;241,897175193513;241,897175193513;283,751891315507;0,0166256468556987;0,0047999749907653;0,0394920800000001;0,0047999749907653;0,0022473089275916
12;283,55560306043;324,180956486542;233,507453008205;233,507453008205;275,045422486618;0,0162724388741536;0,0045820920630499;0,0390331200000001;0,0045820920630499;0,0021635900309538
13;274,377746094196;313,894990397776;225,943471646714;225,943471646714;266,784552340148;0,0159373636573267;0,0043905631535806;0,0385811200000001;0,0043905631535806;0,0020922948448516
14;266,014103756211;304,417239684169;219,091669762649;219,091669762649;258,947220942075;0,0156178348856339;0,0042203368301984;0,0381360800000001;0,0042203368301984;0,002030754881698
15;258,356871144729;295,662128336149;212,858459154814;212,858459154814;251,512519066958;0,0153119629243381;0,0040676450992158;0,0376980000000001;0,0040676450992158;0,0019770131951293
16;251,317886401514;287,555849736563;207,166020528051;207,166020528051;244,460627382146;0,0150183221380559;0,0039296106307654;0,0372668800000001;0,0039296106307654;0,0019296020267794
17;244,824150454869;280,034412800741;201,9491183868;201,9491183868;237,772758524687;0,0147358089322143;0,0038039913413315;0,0368427200000001;0,0038039913413315;0,0018873989310894
18;238,814565839855;273,042064903894;197,152658038748;197,152658038748;231,431102002405;0,0144635509026598;0,0036890091379996;0,03642552;0,0036890091379996;0,0018495308589531
19;233,2375105876;266,530009466653;192,729790527285;192,729790527285;225,418771839127;0,0142008463099976;0,0035832319839817;0,0360152800000001;0,0035832319839817;0,0018153085311939
20;228,049000446946;260,455355911087;188,640427287462;188,640427287462;219,719756875575;0,0139471223679553;0,0034854907494596;0,035612;0,0034854907494596;0,0017841805004724
21;223,207410819123;254,78025430647;184,850064774491;184,850064774491;214,318873631292;0,0137019056610842;0,0033948193495597;0,03521568;0,0033948193495597;0,001755700338857
22;218,684101080526;249,471177887107;181,32884613571;181,32884613571;209,201721628995;0,0134648006452866;0,0033104108347795;0,03482632;0,0033104108347795;0,0017295027747543
23;214,450683775185;244,498324780391;178,050805969109;178,050805969109;204,354641080305;0,0132354736909725;0,0032315846370363;0,03444392;0,0032315846370363;0,0017052860555275
24;210,482328937888;239,835116461401;174,993257806064;174,993257806064;199,764672830846;0,0130136410225686;0,0031577617632811;0,0340684800000001;0,0031577617632811;0,0016827987200252
25;206,757205184639;235,457775169562;172,13629381483;172,13629381483;195,419520462782;0,0127990594571014;0,003088445747395;0,0337000000000001;0,003088445747395;0,0016618295462967
26;203,256025592462;231,344966156321;169,462373451358;169,462373451358;191,307514453878;0,0125915191922014;0,0030232078386739;0,0333384800000001;0,0030232078386739;0,0016421998196899
27;199,961675739926;227,477493450902;166,955983141638;166,955983141638;187,417578293872;0,0123908381200494;0,0029616753513841;0,0329839200000001;0,0029616753513841;0,001623757319806
28;196,858906779042;223,838040032563;164,603353088675;164,603353088675;183,739196461234;0,0121968572945575;0,0029035224034826;0,0326363200000001;0,0029035224034826;0,0016063715966576
29;193,934080429125;220,410945028565;162,392220324436;162,392220324436;180,262384166062;0,0120094372817958;0,0028484624826364;0,0322956800000001;0,0028484624826364;0,0015899302249053
30;191,17495575885;217,182011926654;160,3116294326;160,3116294326;176,977658767902;0,0118284551950233;0,0027962424252098;0,0319620000000001;0,0027962424252098;0,001574335808021
31;188,570509850538;214,138342880962;158,351764138076;158,351764138076;173,876012780516;0,0116538022661293;0,0027466374989829;0,0316352800000001;0,0027466374989829;0,0015595035631105
32;186,110786126273;211,268195062897;156,503804328546;156,503804328546;170,948888379029;0,011485381841514;0,0026994473562077;0,0313155200000001;0,0026994473562077;0,00154535935945
33;183,786765402934;208,560855710944;154,759804140238;154,759804140238;168,188153328355;0,0113231077168434;0,0026544926790085;0,0310027200000001;0,0026544926790085;0,0015318381145749
34;181,59025573556;206,006533101469;153,112587577056;153,112587577056;165,586078255386;0,0111669027445918;0,0026116123800618;0,0306968800000001;0,0026116123800618;0,0015188824743913
35;179,513797879547;203,596261124518;151,555658792978;151,555658792978;163,135315190897;0,0110166976628519;0,0025706612520437;0,0303980000000001;0,0025706612520437;0,0015064417205956
36;177,550583806038;201,321815525868;150,083124692426;150,083124692426;160,828877310699;0,0108724301048812;0,0025315079823709;0,0301060800000001;0,0025315079823709;0,0014944708613003
37;175,694386181171;199,175640186075;148,689627922652;148,689627922652;158,660119808946;0,0107340437572465;0,0024940334672923;0,0298211200000001;0,0024940334672923;0,0014829298703077
38;173,939497098005;197,150782062298;147,370288668957;147,370288668957;156,622721839943;0,0106014876408859;0,0024581293728449;0,0295431200000001;0,0024581293728449;0,0014717830477596
39;172,280674652263;195,240833629625;146,120653935569;146,120653935569;154,71066946802;0,0104747154944276;0,0024236969006022;0,0292720800000001;0,0024236969006022;0,0014609984804949
40;170,713096195933;193,439881833879;144,936653215707;144,936653215707;152,918239568245;0,0103536852430274;0,0023906457242674;0,0290080000000001;0,0023906457242674;0,0014505475847927
41;169,232317299291;191,742462713919;143,814559634354;143,814559634354;151,239984623798;0,0102383585390937;0,0023588930695445;0,0287508800000001;0,0023588930695445;0,0014404047175707
42;167,834235611498;190,143520973736;142,750955794674;142,750955794674;149,670718368754;0,0101287003637208;0,0023283629147704;0,0285007200000001;0,0023283629147704;0,0014305468447754
43;166,515058940463;188,638373887214;141,742703680295;141,742703680295;148,205502227869;0,0100246786796264;0,0022989852938093;0,0282575200000001;0,0022989852938093;0,0014209532578095
44;165,271276979666;187,222679004917;140,786918065888;140,786918065888;146,839632507622;0,0099262641279678;0,0022706956859342;0,0280212800000001;0,0022706956859342;0,0014116053305243
45;164,099636197988;185,892405205309;139,880942971575;139,880942971575;145,568628295357;0,0098334297626939;0,0022434344800148;0,0277920000000001;0,0022434344800148;0,0014024863106471
46;162,997117481741;184,643806694765;139,022330765875;139,022330765875;144,388220025819;0,0097461508171304;0,0022171465024366;0,0275696800000001;0,0022171465024366;0,0013935811405996
47;161,960916178916;183,473399613393;138,208823579771;138,208823579771;143,294338676666;0,00966440449835;0,0021917805998883;0,0273543200000001;0,0021917805998883;0,0013848763035421
48;160,988424246475;182,377940948611;137,438336742929;137,438336742929;142,283105556802;0,0095881698055776;0,0021672892695622;0,0271459200000001;0,0021672892695622;0,0013763596911918
49;160,077214244143;181,354409496818;136,708943993957;136,708943993957;141,350822653406;0,0095174273694594;0,0021436283304651;0,0269444800000001;0,0021436283304651;0,0013680204905522
50;159,225024953952;180,399988646435;136,018864251005;136,018864251005;140,493963505561;0,0094521593095041;0,0021207566304931;0,0267500000000001;0,0021207566304931;0,0013598490871735
51;158,429748435073;179,512050783906;135,366449758254;135,366449758254;139,709164574221;0,0093923491074039;0,0020986357847188;0,0265624800000001;0,0020986357847188;0,0013518369829639
52;157,68941834913;178,688143148632;134,750175448568;134,750175448568;138,993217080057;0,0093379814942775;0,0020772299409977;0,0263819200000001;0,0020772299409977;0,0013439767269067
53;157,00219941296;177,925974983907;134,168629383788;134,168629383788;138,343059282356;0,0092890423501568;0,0020565055695592;0,0262083200000001;0,0020565055695592;0,0013362618573208
54;156,366377854389;177,223405849154;133,620504152146;133,620504152146;137,755769173753;0,0092455186142757;0,0020364312737075;0,0260416800000001;0,0020364312737075;0,0013286868545353
55;155,780352762497;176,578434974625;133,104589117801;133,104589117801;137,228557567047;0,0092073982049205;0,0020169776191562;0,0258820000000001;0,0020169776191562;0,0013212471030569
56;155,242628237478;175,989191553487;132,619763430773;132,619763430773;136,758761551751;0,0091746699477701;0,001998116979849;0,0257292800000001;0,001998116979849;0,00131393886248
57;154,751806256956;175,453925878241;132,164989717028;132,164989717028;136,343838299349;0,0091473235117988;0,0019798233984025;0,0255835200000002;0,0019798233984025;0,0013067592465407
58;154,306580185733;174,971001238907;131,739308378373;131,739308378373;135,98135919747;0,00912534935194;0,0019620724595503;0,0254447200000002;0,0019620724595503;0,0012997062098506
59;153,905728864723;174,538886509598;131,341832440406;131,341832440406;135,669004294361;0,0091087386578134;0,0019448411751679;0,0253128800000002;0,0019448411751679;0,0012927785419645
60;153,54811122242;174,156149358155;130,971742894198;130,971742894198;135,404557036136;0,009097483307912;0,0019281078796423;0,0251880000000002;0,0019281078796423;0,0012859758685408
61;153,232661358886;173,821450020597;130,628284483916;130,628284483916;135,185899280315;0,009091575828722;0,001911852134494;0,0250700800000002;0,001911852134494;0,0012792986594546
62;152,958384057989;173,533535588378;130,310761898224;130,310761898224;135,011006570137;0,0090910093583198;0,0018960546412963;0,0249591200000002;0,0018960546412963;0,0012727482438108
63;152,724350688691;173,291234761921;130,018536328295;130,018536328295;134,877943655036;0,0090957776140488;0,0018806971620472;0,0248551200000002;0,0018806971620472;0,0012663268318947
64;152,529695460604;173,093453028778;129,751022359611;129,751022359611;134,784860243556;0,0091058748639325;0,0018657624462469;0,0247580800000002;0,0018657624462469;0,0012600375441754
65;152,373612002935;172,939168229054;129,507685168569;129,507685168569;134,72998697575;0,0091212959015242;0,001851234164022;0,0246680000000002;0,001851234164022;0,0012538844475634
66;152,255350239346;172,827426474527;129,288037998298;129,288037998298;134,711631602894;0,0091420360239375;0,0018370968447089;0,0245848800000002;0,0018370968447089;0,0012478725992018
67;152,174213534332;172,757338391324;129,091639891106;129,091639891106;134,728175363053;0,0091680910128348;0,0018233358203764;0,0245087200000002;0,0018233358203764;0,0012420080981514
68;152,12955608937;172,728075658977;128,918093657646;128,918093657646;134,778069541702;0,0091994571181871;0,001809937173822;0,0244395200000002;0,001809937173822;0,0012362981454153
69;152,120780569509;172,738867821387;128,767044065252;128,767044065252;134,859832207234;0,0092361310446424;0,0017968876906287;0,0243772800000002;0,0017968876906287;0,0012307511128338
70;152,147335943215;172,788999347642;128,638176230074;128,638176230074;134,97204511179;0,0092781099403714;0,0017841748149114;0,0243220000000002;0,0017841748149114;0,00122537662147
71;152,20871552016;172,877806922721;128,531214199523;128,531214199523;135,113350748384;0,0093253913882801;0,0017717866084207;0,0242736800000002;0,0017717866084207;0,0012201856302023
72;152,304455173411;173,004676950086;128,445919713304;128,445919713304;135,282449555832;0,0093779733995006;0,0017597117127073;0,0242323200000002;0,0017597117127073;0,0012151905353421
73;152,434131733995;173,169043249862;128,382091132894;128,382091132894;135,478097263482;0,009435854409093;0,0017479393140788;0,0241979200000002;0,0017479393140788;0,0012104052821975
74;152,597361547236;173,370384937825;128,339562530759;128,339562530759;135,699102368197;0,0094990332739101;0,0017364591111087;0,0241704800000002;0,0017364591111087;0,001205845489625
75;152,793799181537;173,608224471864;128,31820293196;128,31820293196;135,944323736483;0,0095675092725922;0,0017252612844799;0,0241500000000002;0,0017252612844799;0,0012015285887273
76;153,023136281465;173,882125853773;128,317915702017;128,317915702017;136,212668325058;0,0096412821076771;0,0017143364689676;0,0241364800000003;0,0017143364689676;0,0011974739769898
77;153,285100558069;174,191692975393;128,338638076099;128,338638076099;136,503089013546;0,0097203519098274;0,0017036757273835;0,0241299200000003;0,0017036757273835;0,0011937031892874
78;153,57945491037;174,53656809915;128,380340825661;128,380340825661;136,814582543325;0,0098047192441885;0,0016932705263226;0,0241303200000003;0,0016932705263226;0,0011902400873388
79;153,905996672916;174,91643046393;128,443028059749;128,443028059749;137,146187556926;0,0098943851189082;0,001683112713565;0,0241376800000003;0,001683112713565;0,001187111069345
80;154,264556985159;175,330995008095;128,526737159171;128,526737159171;137,496982732658;0,0099893509958596;0,0016731944970029;0,0241520000000003;0,0016731944970029;0,0011843453017122
81;154,655000279283;175,780011202207;128,63153884275;128,63153884275;137,866085009468;0,0100896188036234;0,0016635084249714;0,0241732800000003;0,0016635084249714;0,0011819749749269
82;155,077223883899;176,263261984699;128,757537365846;128,757537365846;138,252647897313;0,0101951909527959;0,0016540473678743;0,0242015200000003;0,0016540473678743;0,0011800355858289
83;155,531157741831;176,780562794392;128,904870852302;128,904870852302;138,65585986858;0,0103060703537005;0,0016448045010068;0,0242367200000003;0,0016448045010068;0,0011785662487009
84;156,016764240984;177,331760694312;129,073711761996;129,073711761996;139,074942826344;0,0104222604365889;0,0016357732884813;0,0242788800000003;0,0016357732884813;0,0011776100377623
85;156,534038158049;177,916733581818;129,264267497153;129,264267497153;139,5091506455;0,0105437651744272;0,0016269474681777;0,0243280000000004;0,0016269474681777;0,0011772143638171
86;157,083006715598;178,535389480503;129,476781151653;129,476781151653;139,957767782997;0,010670589108365;0,0016183210376378;0,0243840800000004;0,0016183210376378;0,0011774313879424
87;157,66372975386;179,187665909826;129,711532408667;129,711532408667;140,420107953651;0,0108027373759912;0,001609888240839;0,0244471200000004;0,001609888240839;0,0011783184752111
88;158,276300019331;179,873529328789;129,968838593102;129,968838593102;140,895512868154;0,010940215742475;0,0016016435557798;0,0245171200000004;0,0016016435557798;0,0011799386914998
89;158,920843573178;180,59297465042;130,249055886597;130,249055886597;141,383351030149;0,0110830306346873;0,0015935816828219;0,0245940800000004;0,0015935816828219;0,0011823613464201
90;159,597520323272;181,346024824122;130,552580714123;130,552580714123;141,883016589339;0,0112311891783834;0,0015856975337334;0,0246780000000004;0,0015856975337334;0,0011856625853004
91;160,306524684647;182,132730483324;130,879851312702;130,879851312702;142,393928247828;0,0113846992385061;0,0015779862213852;0,0247688800000004;0,0015779862213852;0,001189926032901
92;161,048086374156;182,953169656143;131,231349494339;131,231349494339;142,915528217005;0,0115435694626358;0,0015704430500544;0,0248667200000005;0,0015704430500544;0,0011952434911192
93;161,822471346177;183,807447537096;131,607602616967;131,607602616967;143,447281222435;0,0117078093275712;0,0015630635062939;0,0249715200000005;0,0015630635062939;0,0012017156922817
94;162,629982877394;184,695696318143;132,009185779137;132,009185779137;143,988673554368;0,0118774291889558;0,0015558432503291;0,0250832800000005;0,0015558432503291;0,0012094531086471
95;163,470962809966;185,618075077624;132,436724256293;132,436724256293;144,539212161599;0,012052440333783;0,0015487781079472;0,0252020000000005;0,0015487781079472;0,0012185768173671
96;164,345792963779;186,574769725883;132,890896198837;132,890896198837;145,098423786525;0,0122328550354982;0,0015418640628451;0,0253276800000006;0,0015418640628451;0,0012292194182683
97;165,254896730063;187,565993006639;133,372435614789;133,372435614789;145,665854139374;0,0124186866112667;0,0015350972494071;0,0254603200000006;0,0015350972494071;0,0012415259992705
98;166,198740860366;188,591984553342;133,882135662861;133,882135662861;146,24106710969;0,0126099494807858;0,0015284739458838;0,0255999200000006;0,0015284739458838;0,0012556551408966
99;167,177837466823;189,653011000042;134,420852285037;134,420852285037;146,823644013227;0,0128066592257733;0,0015219905679456;0,0257464800000006;0,0015219905679456;0,0012717799469416
100;168,192746251828;190,749366146441;134,989508211544;134,989508211544;147,41318287256;0,013008832648958;0,0015156436625888;0,0259000000000007;0,0015156436625888;0,0012900890827195
101;169,244076987648;191,881371177065;135,589097375332;135,589097375332;148,009297729745;0,0132168281741659;0,0015094299023701;0,0260604800000007;0,0015094299023701;0,0013107877951264
102;170,332492269297;193,049374934668;136,220689778034;136,220689778034;148,611617989508;0,013430318243375;0,0015033460799502;0,0262279200000007;0,0015033460799502;0,0013340988797253
103;171,458710567096;194,253754248196;136,885436854877;136,885436854877;149,219787791468;0,0136493238365243;0,0014973891029264;0,0264023200000007;0,0014973891029264;0,0013602635488489
104;172,623509608933;195,494914315851;137,584577392278;137,584577392278;149,833465410019;0,0138738673390776;0,0014915559889377;0,0265836800000008;0,0014915559889377;0,0013895421409648
105;173,827730126253;196,773289143979;138,319444059091;138,319444059091;150,452322680546;0,0141039725640891;0,0014858438610249;0,0267720000000008;0,0014858438610249;0,0014222145949336
106;175,072280002497;198,08934204274;139,091470620688;139,091470620688;151,076044450715;0,0143396647547573;0,0014802499432298;0,0269672800000009;0,0014802499432298;0,001458580593023
107;176,358138867997;199,443566179699;139,902199914581;139,902199914581;151,704328055664;0,0145809705610947;0,0014747715564213;0,0271695200000009;0,0014747715564213;0,001498959253489
108;177,686363191499;200,836485192727;140,753292677224;140,753292677224;152,336882815947;0,0148279179830174;0,0014694061143332;0,0273787200000009;0,0014694061143332;0,001543688227268
109;179,058091925512;202,268653863788;141,646537324304;141,646537324304;152,973429557182;0,0150805362707118;0,0014641511198011;0,027594880000001;0,0014641511198011;0,001593122024301
110;180,474552770914;203,740658855427;142,583860801524;142,583860801524;153,613700150373;0,0153388557716023;0,001459004161189;0,027818000000001;0,001459004161189;0,0016476293642369
111;181,550615108086;205,253119512029;143,567340639906;143,567340639906;154,257437071943;0,0154445664697866;0,0014539629089919;0,028048080000001;0,0014539629089919;0,0017075893155447
112;182,665975194417;206,80668872813;144,599218369568;144,599218369568;154,904392982573;0,0155532255171553;0,0014490251126069;0,0282851200000011;0,0014490251126069;0,0017733859592928
113;183,822171947481;208,402053886343;145,681914469132;145,681914469132;155,554330323963;0,0156648649099513;0,0014441885972616;0,0285291200000011;0,0014441885972616;0,0018454012933324
114;185,02086595909;210,039937867735;146,81804505518;146,81804505518;156,207020932695;0,0157795163336739;0,0014394512610912;0,0287800800000012;0,0014394512610912;0,0019240060853702
115;186,263850230351;211,721100137739;148,010440548156;148,010440548156;156,862245670412;0,0158972105401459;0,0014348110723575;0,0290380000000012;0,0014348110723575;0,0020095483974337
116;187,553062183705;213,446337911048;149,262166588887;149,262166588887;157,519794069575;0,0160179765897653;0,0014302660667997;0,0293028800000013;0,0014302660667997;0,0021023395494969
117;188,890597129119;215,216487399186;150,576547524485;150,576547524485;158,179463994065;0,0161418409512785;0,0014258143451121;0,0295747200000013;0,0014258143451121;0,0022026373782225
118;190,278723390834;217,032425144852;151,957192835377;151,957192835377;158,841061313985;0,0162688264584219;0,00142145407054;0,0298535200000014;0,00142145407054;0,0023106267902922
119;191,719899335824;218,895069447458;153,408026938226;153,408026938226;159,504399594001;0,0163989511330412;0,001417183466589;0,0301392800000014;0,001417183466589;0,0024263978200232
120;193,216792586675;220,805381884676;154,933322874823;154,933322874823;160,169299794614;0,0165322268981677;0,0014130008148404;0,0304320000000015;0,0014130008148404;0,0025499216854123
121;194,759819373799;222,764368935243;156,537740487278;156,537740487278;160,835589985792;0,0166686582220071;0,0014089044528677;0,0307316800000015;0,0014089044528677;0,0026810256950277
122;196,364313844609;224,773083708687;158,226369788529;158,226369788529;161,503105072396;0,0168082407542528;0,0014048927722497;0,0310383200000016;0,0014048927722497;0,0028193682770968
123;198,033713867602;226,83262778815;160,004780368391;160,004780368391;162,171686530889;0,0169509600380872;0,0014009642166736;0,0313519200000017;0,0014009642166736;0,0029644158505576
